u,v,snow
224886238,596644170,0
224886238,4502353385,0
224911443,596643866,0
224911443,8875463943,0
224911443,8875463943,0
224911443,10913959485,0
224911467,658951437,0
224911467,596642939,0
224911467,596642939,0
224911467,658951436,1
224911569,596644508,0
224911569,596644508,1
224911569,224911587,0
224911569,596644499,0
224911587,3220478424,0
224911587,3220478424,0
224911587,8890411296,0
224932993,12596299693,0
224932993,3213992667,0
224932993,596643295,0
224932993,596643295,1
224932998,8880731482,0
224932998,8881379186,1
224933053,596688742,0
224933053,8890676734,0
224933053,9923213640,1
224933053,9923213640,1
224956859,8883449829,0
224956859,12596299693,0
224956859,8880731482,0
224956859,8880731482,0
224957054,246713926,1
224957054,596643010,0
224957054,596643010,0
224957054,246659356,0
224957054,246659356,1
224957054,246713925,0
224964869,224964907,0
224964869,5051562869,0
224964869,5051562869,1
224964869,596689182,1
224964903,344877827,0
224964903,2629884308,0
224964903,2629884308,0
224964903,5051562869,0
224964907,622788580,0
224964907,344877827,0
224964907,344877827,0
246653204,246653578,1
246653204,5294388527,0
246653204,246653208,0
246653204,596687609,0
246653205,246653216,1
246653205,246653574,0
246653205,246653574,0
246653205,246653206,0
246653205,246653206,1
246653205,246653578,0
246653206,596687756,0
246653206,246653210,0
246653208,246653213,0
246653208,246713217,0
246653208,246713218,0
246653210,246653216,0
246653210,8883449829,0
246653210,8883449829,0
246653213,596687612,0
246653213,596687600,0
246653213,596687609,0
246653216,246713217,0
246653216,246713217,0
246653338,246653341,0
246653338,8883545460,0
246653338,8928725042,0
246653338,8928725042,1
246653340,3212402316,0
246653340,4656610918,0
246653340,2882067748,0
246653340,8553307646,1
246653341,246653372,0
246653372,596687561,0
246653372,246713245,0
246653372,246713245,0
246653379,596687346,1
246653379,596687339,0
246653379,246713744,0
246653379,596687310,0
246653392,596687714,0
246653392,596687714,0
246653392,596687616,0
246653392,596687713,0
246653399,2886138592,0
246653399,596687482,0
246653427,246653594,0
246653427,596687482,0
246653434,246713207,1
246653434,596687713,0
246653434,4659430016,1
246653434,4659430016,0
246653436,246653437,1
246653436,246653437,1
246653436,246713207,1
246653436,246653601,0
246653437,246713204,0
246653437,246713202,1
246653438,246713204,1
246653438,246653442,0
246653440,246713227,1
246653440,8883449829,0
246653440,596687642,0
246653440,596687642,1
246653442,596687800,1
246653442,596687756,0
246653442,2919476683,0
246653574,246653577,1
246653574,246713210,0
246653577,5294388527,0
246653577,246653578,0
246653577,2919476695,0
246653578,246713217,1
246653582,2886138729,1
