u,v,snow
29239079,124524582,0
29239079,29795235,0
29239079,4504112773,0
29239079,4504112773,0
29795235,31777152,1
29795235,310090260,0
29795235,5413741435,0
29795236,5413741435,0
29795236,29795237,1
29795236,31777152,0
29795236,31777152,0
29795237,596988539,0
29795237,661852604,0
29795237,31777153,0
31700055,31700077,0
31700055,300103857,0
31700076,31700077,1
31700076,31700077,1
31700077,3964969147,1
31700078,5415829806,0
31700078,5415829801,1
31700078,5415829803,1
31700078,5415829803,0
31700224,31700225,0
31700224,31700225,1
31700224,596999744,0
31700224,213649392,1
31700225,31700226,0
31700225,126073336,0
31700226,213649418,0
31700226,213649401,1
31700226,221128630,0
31700228,221112922,1
31700228,221112922,0
31700228,31700229,1
31700228,3405413274,1
31700229,124504833,0
31700229,124504833,0
31700229,126092384,0
31700231,391531806,0
31700231,221108317,0
31700231,221108317,1
31700231,124504833,0
31700818,31700819,0
31700818,124524582,0
31700818,124524582,1
31700818,221075916,0
31700819,1851835123,0
31700819,31777152,0
31700819,31777152,0
31701022,5515312073,0
31701022,5515312073,0
31701022,221106368,0
31701022,221106437,0
31701022,221106437,0
31701022,221106435,0
31776941,221101701,1
31776941,221101701,0
31776941,31776942,0
31776941,438111583,1
31776942,221075916,0
31776942,31776943,0
31776942,221101690,0
31776943,867289567,0
31776943,4504112778,0
31776943,124524582,1
31777152,31777153,0
31777153,1851835123,0
31777153,1851835123,1
124502593,221108180,0
124502593,221101690,0
124502593,221091287,1
124502593,221091287,0
124504833,221110240,0
124524581,221091287,0
124524581,221091281,0
124524581,221091281,0
124524581,221108180,0
124531262,4504112778,0
124531262,4504112778,0
124531262,221101697,0
124531262,9680726835,1
126066962,221091652,0
126066962,221091281,0
126066962,221091281,0
126066962,471725443,0
126068173,221113274,0
126068173,221113274,0
126073336,221128630,0
126073336,209364980,0
126073336,209364980,0
126073338,596999774,1
126073338,221106400,0
126073338,221128630,0
126073338,126102457,0
126073338,126102457,1
126073338,596999783,0
126092384,126094068,0
126092384,126094068,0
126092384,221110584,0
126094068,596999794,0
126094068,596999794,1
126094068,221112922,0
126094068,221091652,0
126094069,221106425,1
126094069,221106420,0
126094069,596999769,0
126094069,514112190,0
126094908,221106437,1
126094908,221106437,1
126102457,213649418,0
126102457,3405413274,0
209364967,213955429,0
209364967,1765657081,0
209364967,213955444,0
209364967,213955444,0
209364977,437719105,0
209364977,437788171,0
209364977,209364980,0
209364977,1765657081,0
209364980,9943289208,1
209364980,9943289208,0
209364980,221106405,0
209365004,209365009,0
209365004,209365009,0
209365004,1765630409,0
209365004,1765657080,0
209365009,209365013,1
209365009,1765657079,1
209365013,209387031,1
209365013,209387031,1
209365013,1765657078,1
209374806,213955395,0
209374806,6100220186,0
209387023,664167873,0
209387023,209387049,0
209387031,209387036,1
209387031,209387036,0
209387046,209387049,0
209387046,1765657079,0
209387046,209390670,1
209387046,664167873,0
209387049,209390674,1
209387049,1969920684,1
209387056,4171683688,1
209387056,4171683688,0
209387056,596999735,0
209387056,213649409,0
209387103,209387147,0
209387103,209387147,0
209387103,209387140,0
209387103,209387140,0
209387112,209387127,0
209387112,209387127,0
209387112,1765657075,0
209387112,213666597,1
209387127,3165394666,0
209387127,3165394666,0
209387136,209387140,0
209387136,209387140,0
209387136,3165394666,1
209387136,3165394666,1
209390670,437719105,1
209390670,209390674,0
209390670,1765657080,0
209390674,596999743,0
209390674,9943289208,0
209390694,221106420,0
209390694,221106420,0
209390694,596999772,0
209390694,437719778,0
209390694,491202324,0
209390694,1765630410,0
209390697,1765657082,1
209390697,1765630410,0
209390697,428525931,0
209390697,437719778,0
213649392,213649401,0
213649392,213649401,0
213649392,3964969147,1
213649401,213649404,0
213649401,213649427,0
213649401,213649427,0
213649404,213649452,1
213649404,213649427,0
213649404,213649928,1
213649409,596999744,0
213649409,3964969147,0
213649409,3964969147,0
213649418,213649928,0
213649418,213649928,0
213649427,213649430,0
213649430,213649435,0
213649430,213649445,0
213649430,213649445,0
213649430,213649452,0
213649430,213649452,0
213649435,213649471,0
213649435,213649471,0
213649435,213649468,1
213649452,213649987,0
213649452,213649987,0
213649452,213649963,0
213649468,3733743016,0
213649468,3733743016,1
213649468,9307175743,0
213649471,213649963,1
213649471,4514524184,1
213649485,4514524184,0
213649485,5415927950,0
213649485,213649488,0
213649485,213649866,1
213649488,310090260,0
213649488,310090260,0
213649488,213649874,0
213649866,213649886,1
213649866,213649874,1
213649866,213649874,0
213649874,213649886,0
213649886,391531806,0
213649886,391531806,0
213649928,213649936,0
213649936,213649947,1
213649936,213649947,0
213649936,213649947,0
213649947,213649957,0
213649957,213649961,0
213649957,213649961,1
213649957,4514524164,0
213649963,5415927950,0
213649963,4514524164,1
213666597,1765630408,0
213666597,5415829806,0
213666597,5415829806,1
213955306,213955429,0
213955306,213955379,1
213955379,213955444,1
213955379,213955395,0
213955379,213955395,0
213955395,213955444,0
213955429,1765657082,0
213955429,2378096434,0
221075916,438111584,0
221075916,438111584,0
221091275,221106359,1
221091275,221091287,0
221091275,437788057,0
221091275,437788057,0
221091275,221101701,1
221091275,221101701,0
221091281,471725446,0
221091281,9680726835,0
221091287,221106468,1
221091287,221106468,1
221091652,221110584,0
221091652,596999847,0
221101690,221101697,0
221101690,221101701,0
221101697,221108180,0
221101697,867289567,0
221101701,437732887,1
221106359,221106363,0
221106359,437788045,0
221106359,221106468,0
221106363,221106437,1
221106363,437788242,0
221106363,221106368,0
221106368,221106468,0
221106368,1857963725,0
221106378,221106429,0
221106378,471725446,0
221106378,1857963725,0
221106378,221106382,0
221106382,471725443,0
221106382,221106387,0
221106382,437729754,1
221106387,596999812,0
221106387,221106392,0
221106387,1420077705,0
221106392,596999788,0
221106392,221106397,1
221106392,596999811,1
221106397,221106420,0
221106397,491202324,0
221106397,221112989,1
221106400,221106405,0
221106400,437719778,0
221106400,596999772,1
221106405,221128630,0
221106405,437788171,0
221106420,526533273,0
221106420,526533273,0
221106425,514112191,1
221106425,437729754,0
221106425,596999813,0
221106429,221113204,0
221106429,221106435,0
221106429,437729754,1
221106435,221113274,1
221106435,1857963725,1
221106437,1825900796,0
221106464,1857963725,0
221106464,221106468,1
221106464,221106468,0
221106464,471725446,0
221108180,9680726835,0
221108317,9680726835,1
221108317,221110240,0
221110240,221110584,0
221110240,221110584,1
221112922,596999795,1
221112989,596999795,0
221112989,596999784,0
221112989,526533292,0
221113177,437729754,0
221113177,9680726834,1
221113177,9680726834,0
221113177,221113204,0
221113177,221113204,0
221113177,5515312073,1
221113204,221113274,0
300103857,5415829803,0
300103857,303433230,1
300103857,303433230,0
303431774,1975853548,0
303431774,1975853548,0
303432802,1969920684,0
303432802,1975853560,0
303432802,3382995922,0
303432802,3382995922,0
310090260,310090261,1
310090261,661852604,1
310090261,661852604,0
310090261,9307175743,1
310683067,526533292,0
310683067,1420077700,0
310683067,1420077705,0
310683067,471725443,0
391531806,4504112773,1
428525931,2378096434,1
428525931,2378096434,0
428525931,4514457621,1
437719105,1765630409,0
437719105,9943289208,1
437719778,437788171,0
437731034,438111583,0
437731034,438111583,0
437732887,437788057,0
437733314,438111584,0
437733314,1851835123,1
437788045,437788242,0
437788045,437788242,1
437788045,437788057,0
437788171,1765657082,0
437788242,1825900796,0
437865622,12844070435,1
437865622,12844070435,0
437865622,4559009212,0
437865622,4559009212,0
438111575,1825900796,0
438111575,1825900796,0
438111583,438111584,0
471725443,471725446,1
491202324,596999772,0
491202324,596999784,0
514112190,514112191,1
514112190,514112191,0
514112190,11540366862,1
514112191,9680726834,0
526533273,1765630410,1
526533273,11540366862,0
526533292,596999788,0
526533292,596999797,1
526533292,596999797,0
526533292,596999795,0
596988490,661852604,1
596988490,596988509,0
596988509,596988539,0
596999732,596999743,0
596999732,11509620002,0
596999732,1969920684,0
596999732,1969920684,0
596999735,11509620002,0
596999735,11509620002,0
596999735,11509620002,0
596999743,596999744,0
596999743,596999744,1
596999768,11074986486,0
596999768,11074986486,0
596999768,11540366862,0
596999768,596999815,0
596999769,596999813,0
596999769,596999813,0
596999769,596999811,0
596999772,596999783,0
596999773,596999784,1
596999773,596999795,0
596999773,596999774,0
596999773,4605973276,0
596999774,3691019539,0
596999774,596999783,0
596999783,596999784,0
596999788,1420077705,1
596999788,1420077705,0
596999794,596999797,1
596999794,596999847,1
596999797,1420077700,0
596999811,596999812,0
596999811,596999812,0
596999812,596999813,0
596999815,4559009211,0
596999815,9680726834,0
596999815,9680726834,0
596999847,1420077700,0
596999847,1420077700,1
664167873,1765657078,0
664167873,1765657078,1
865023812,4514457621,0
865023812,4514457621,0
865023812,6277242277,0
865023812,6100220186,0
867289562,867289567,0
867289562,867289567,0
1765630408,5415829812,1
1765630408,1765657075,0
1765630408,1975853544,1
1765630409,1765657080,0
1765630409,1765657081,0
1765630410,6277242277,0
1765657078,1765657079,1
1765657079,1765657080,0
1765657081,1765657082,1
1975853544,1975853546,0
1975853544,1975853560,0
1975853544,1975853560,0
1975853546,1975853548,1
1975853546,10073196740,0
1975853546,10073196740,0
1975853548,1975853561,1
1975853560,1975853561,1
2378096434,4514457621,0
3405413274,3405413277,0
3405413274,3405413277,0
3691019539,4605973276,0
4171683688,5415829812,1
4171683688,5415829801,0
4504112773,4504112778,0
4514524164,5415927950,0
4514524164,5415927950,0
4514524184,9307175743,0
4514524184,9307175743,1
4559009211,6277242277,0
4559009211,6277242277,0
4559009211,5515305964,0
4559009212,5515305964,1
4559009212,5515305964,0
4559009212,5412399379,0
4559009212,5412399379,0
5412399376,5412399379,0
5412399376,5412399379,0
5415829801,5415829806,0
5415829801,5415829806,1
5415829803,5415829806,0
5515305964,5515312073,0
6100220186,6453375160,0
6100220186,6453375160,1
9680726834,11540366862,0
