u,v,snow
110468282,8891081698,0
110468282,8891081698,0
224806468,224826053,0
224806468,4667250394,0
224806468,597658359,1
224806468,595748274,0
224817696,224817703,0
224817696,294966972,0
224817696,293304288,0
224817696,4667249878,1
224817703,4539923790,0
224817703,224826072,1
224817703,294966973,0
224826053,595748273,1
224826053,4667250395,1
224826053,4667250395,1
224826072,293304288,0
224826072,595748314,1
224826072,4539923791,0
224826075,617477418,0
224826075,297626314,0
224826075,297626247,0
224826075,297626247,1
224826075,224826116,0
224826075,224826116,0
224826079,369558048,0
224826079,4667249877,0
224826079,293304287,1
224826079,4667250393,0
224826093,617477453,1
224826093,923862524,0
224826093,2328418657,0
224826093,2328418657,0
224826112,5349628392,1
224826112,621016693,1
224826112,621016693,0
224826112,621016675,1
224826116,369552071,0
224826116,369552028,1
224826129,369552028,1
224826129,369552028,0
224826129,2328418671,0
224826129,4035259425,1
224826155,297627055,0
224826155,297627055,0
224826155,4035259425,0
224826155,2328418640,0
224826168,295801682,0
224826168,295801588,0
224826168,621014056,0
224826168,4503806267,0
224826171,224826179,1
224826171,598419216,0
224826171,224826175,1
224826171,224826175,0
224826175,224826179,0
224826175,224843945,0
224826179,4667725323,0
224826179,297623919,0
224826179,4667725324,1
224826179,4667725324,0
224826210,224843930,0
224826210,224843856,1
224826210,3409336043,1
224826210,3409336043,0
224843570,305777215,0
224843570,293047716,0
224843574,293050791,0
224843574,293050791,0
224843574,305777215,0
224843574,224843576,0
224843576,293047965,0
224843576,293050911,1
224843576,293050911,0
224843580,293050932,1
224843580,293047777,0
224843580,293050999,0
224843580,293050999,0
224843584,293051001,1
224843584,293047778,0
224843584,293050999,1
224843584,293050999,1
224843587,293051001,1
224843587,369557152,1
224843587,369557152,1
224843587,293051061,0
224843590,3681514792,0
224843590,369557152,1
224843590,923866353,0
224843590,623509883,0
224843598,387222336,0
224843598,387222391,1
224843598,387222391,1
224843598,387222364,0
224843609,387222395,0
224843609,387222394,0
224843609,282596699,1
224843609,282596699,1
224843617,4667250398,0
224843617,282596699,1
224843617,282596699,0
224843617,224843619,1
224843619,4667250401,1
224843619,295075694,0
224843619,295075694,0
224843635,224843638,1
224843635,224843638,1
224843635,295076249,0
224843635,295076249,0
224843635,295075550,0
224843635,295075599,1
224843638,295075550,0
224843638,295076277,0
224843651,295801402,0
224843651,4667440701,0
224843651,297622195,1
224843651,623324616,0
224843673,224843688,0
224843673,224843688,0
224843673,297624052,0
224843673,623509972,0
224843673,620809817,0
224843673,4007744795,0
224843688,224843813,1
224843688,224843700,0
224843700,224843782,0
224843700,224843782,1
224843700,4007744795,0
224843772,224843913,0
224843772,4007744799,1
224843772,224843782,0
224843772,224843836,0
224843782,224843813,0
224843813,3409334632,0
224843813,3409334632,0
224843836,224843913,1
224843836,2305542058,0
224843836,2305542058,1
224843841,2305542058,0
224843841,2305542054,1
224843841,224843845,0
224843841,3409334632,0
224843845,3409334632,0
224843856,224843928,1
224843856,5387418805,0
224843856,224843894,0
224843894,224843920,0
224843894,3409334639,0
224843894,4007744799,0
224843913,224843920,0
224843913,224843920,1
224843920,297625485,1
224843920,297625485,0
224843920,224843921,1
224843921,297625620,0
224843921,297625641,1
224843921,297625641,0
224843928,950760884,0
224843928,224843930,1
224843928,297625641,0
224843930,282597769,1
224843930,224843931,1
224843931,3409336043,1
224843931,224843945,1
224843931,224843945,0
224843945,297623919,0
224867597,224867602,1
224867597,224873214,1
224867597,369552025,0
224867597,297627055,0
224867602,297626230,1
224867602,297626230,0
224867602,617477421,0
224867651,632182902,0
224867651,369547022,1
224867651,8891331240,0
224867651,8891331240,0
224873133,4031745330,0
224873133,224873143,0
224873133,224873268,1
224873133,4031745331,1
224873143,621038884,0
224873143,10916608851,0
224873143,10916608851,0
224873210,617477421,0
224873210,224873212,0
224873210,297626247,0
224873210,4667313100,0
224873212,224873214,0
224873212,224873214,0
224873212,369552071,1
224873214,369552074,0
224873214,369552074,0
224873214,4035259425,0
224873268,8892969686,1
224873268,8892969686,0
224873268,4031745354,0
224873287,595748348,0
224873287,4031745332,0
224873287,4031745332,1
224873287,5407303238,0
224873302,367128024,0
224873302,224873305,0
224873302,2578898420,0
224873302,2578898420,0
224873305,282597826,0
224873305,282597826,0
224873305,595748516,0
224873305,367127796,0
224873305,225000226,1
224873308,4031745331,0
224873308,4031745331,0
224873308,224873325,0
224873308,224873325,0
224873308,4031745330,1
224873308,4031745332,1
224873325,595752973,1
224873325,224873350,1
224873350,595752896,0
224873350,595752896,1
224873350,595752973,0
224873355,4031745348,1
224873355,4031745348,0
224873391,598413466,0
224873391,596515843,0
224873391,596515843,0
224873391,596515848,0
224873405,596644434,0
224873405,596644434,0
224873405,596643958,0
224873405,596644172,1
224911362,596642942,1
224911362,596642942,0
224911362,2388532869,0
224911362,2388532869,0
224991721,8872102926,0
224991721,8872102981,0
224991721,224991752,0
224991721,224991752,1
224991752,224991810,1
224991752,8875463624,1
224991787,475960286,1
224991787,1314049547,1
224991787,224991801,0
224991787,224991816,0
224991801,225000149,0
224991801,536273941,0
224991801,1314049471,0
224991810,658951522,0
224991810,534467523,0
224991810,224991813,0
224991813,534467523,0
224991813,534467523,1
224991813,596643802,0
224991816,225000149,0
224991816,3749532520,0
224991816,534467548,1
224992016,595753058,0
224992016,595753013,0
224992016,595753007,0
224992016,2626154086,1
224992031,225000226,0
224992031,367127833,0
224992031,367127833,0
224992031,2626154086,0
224992031,2626154086,0
224992031,367127796,0
225000149,225000153,0
225000149,1263759168,0
225000153,534467548,0
225000153,534467578,0
225000153,534467545,1
225000222,595753125,1
225000222,595753125,1
225000222,225000226,1
225000222,595753133,1
225000226,632503946,0
225002039,4666805370,0
225002039,596569937,0
225002039,225002040,0
225002039,596644468,0
225002040,596515141,0
225002040,596515324,0
225002040,596515139,1
282596698,294967294,1
282596698,294967329,0
282596698,294966935,0
