u,v,snow
32659924,10905762612,0
32659924,10905762612,0
32659924,1411570408,1
32659924,4518898500,0
32659931,5559066582,1
32659931,5559066582,0
32659931,32661266,1
32659931,32661774,0
32661031,32661032,0
32661031,615035109,0
32661031,5422994804,0
32661031,5422994804,0
32661032,32661033,0
32661032,32661033,1
32661032,32661716,1
32661033,5422994804,0
32661033,4304495144,0
32661035,32661036,0
32661035,32661143,0
32661035,32661040,0
32661035,32661040,0
32661036,32661039,1
32661036,207717147,0
32661036,4304495144,1
32661038,32661039,0
32661038,8595141328,0
32661038,8595141328,1
32661038,207717147,1
32661039,32661101,1
32661039,32661040,0
32661040,32661041,0
32661040,32661041,0
32661040,32661100,0
32661041,32661161,0
32661041,1700525656,0
32661100,32661101,0
32661100,32661142,0
32661100,32661142,1
32661101,32661160,0
32661101,8595141328,1
32661105,1700525677,0
32661105,4513612526,1
32661105,4513612526,1
32661105,32661157,1
32661117,32661118,1
32661117,32661142,0
32661117,32661142,1
32661117,1700518214,1
32661118,1700518223,0
32661118,1700518216,0
32661118,32661160,0
32661121,32661157,0
32661121,11206081966,0
32661121,32671594,0
32661121,1700518227,0
32661129,32661256,1
32661129,998513328,1
32661129,1700518221,0
32661129,1700518216,0
32661131,1700518226,0
32661131,1700518226,0
32661131,32661774,1
32661131,1700518221,1
32661136,1700518211,1
32661136,1700518211,1
32661136,32661713,1
32661136,32661140,0
32661140,615030570,0
32661140,1700518211,0
32661140,32661193,0
32661140,32661193,1
32661140,5230243171,0
32661142,32661160,0
32661142,32661161,1
32661143,5422994804,1
32661143,4304495144,0
32661143,1700525656,0
32661156,1241292882,0
32661156,32672992,0
32661156,1411570408,0
32661156,1411570408,0
32661157,1700518228,1
32661157,1241292882,0
32661160,1700518225,1
32661161,32661162,0
32661161,1700525650,0
32661162,32661163,0
32661162,1700525649,0
32661162,1700525647,0
32661163,1700525640,1
32661163,32661164,1
32661163,1700525645,0
32661164,207713268,1
32661164,267966817,0
32661164,32661253,0
32661167,32661227,1
32661167,32661168,0
32661167,1700525617,1
32661167,1700525615,0
32661168,32661169,0
32661168,32661450,0
32661168,32661226,0
32661169,1700525613,0
32661169,32661225,1
32661169,32661458,0
32661174,32661220,0
32661174,1700534183,0
32661174,1700525584,0
32661174,1700525582,1
32661176,32661177,1
32661176,1700534183,0
32661176,32661535,1
32661176,1700525578,0
32661177,32661178,1
32661177,1700525576,0
32661177,32671971,1
32661178,32661179,0
32661178,10863546379,1
32661178,1700525573,1
32661179,32661551,1
32661179,32661180,0
32661179,10992440222,1
32661180,10863375769,0
32661180,32661181,1
32661180,1700518186,1
32661181,1700518180,0
32661181,32661182,1
32661181,10863589837,0
32661182,10863375784,0
32661182,32661183,0
32661182,1700525571,0
32661183,1700534177,1
32661183,10992440203,0
32661183,10992440203,0
32661184,10863417721,0
32661184,32661666,0
32661184,1700518171,0
32661184,10992440203,0
32661193,8567460063,0
32661193,8567460063,1
32661193,1700518206,1
32661193,1700525650,0
32661220,1700518190,1
32661220,32661221,0
32661220,10862932274,0
32661221,1700518193,1
32661221,1700525584,0
32661221,32661493,0
32661224,1700525613,0
32661224,32661225,0
32661224,1700518194,0
32661224,1700518195,0
32661225,32661226,0
32661225,1700518196,1
32661226,32661227,1
32661226,1700518198,1
32661227,1700518199,0
32661227,32661251,0
32661251,1700525617,1
32661251,32661252,0
32661251,1700518202,0
32661252,1700518203,0
32661252,32661253,0
32661252,207713268,0
32661253,1700525640,0
32661253,1700518204,0
32661256,1700534187,0
32661256,1429448537,0
32661256,1764284111,1
32661260,797776010,0
32661260,1429448537,0
32661260,32661774,0
32661260,10222727839,1
32661266,248413240,0
32661266,248413240,0
32661266,615101597,0
32661355,8640521372,1
32661355,8640521372,0
32661355,32661426,0
32661355,1700525649,1
32661426,1700525645,0
32661426,10992398283,0
32661426,10992398283,1
32661443,10992398280,0
32661443,10992398280,1
32661443,32661444,1
32661443,1700525620,0
32661444,10992398303,0
32661444,10992398303,0
32661444,1700525615,1
32661450,32661458,0
32661450,1700525615,0
32661450,10992398303,0
32661458,32661475,1
32661458,10992398295,1
32661475,32661476,1
32661475,32661476,0
32661475,1700525613,0
32661476,32661481,1
32661476,10979811069,0
32661478,1700518194,0
32661478,1700518195,0
32661478,1700518195,1
32661478,32661493,0
32661478,32661493,0
32661478,1700518193,0
32661481,32661482,1
32661481,32661482,0
32661481,1700525610,0
32661482,1700525594,0
32661482,1700525593,0
32661493,10862932274,0
32661533,1700525578,0
32661533,32766750,0
32661533,32766750,1
32661533,32661544,1
32661535,32672036,0
32661535,1700518190,0
32661535,1764298494,1
32661543,32661544,0
32661543,32661544,0
32661543,32661547,0
32661543,1700525576,0
32661544,10984169750,0
32661547,1700525573,1
32661547,32661552,0
32661547,10984169750,1
32661551,32661552,1
32661551,1700525573,0
32661551,1700518186,0
32661552,32661553,1
32661552,32661556,1
32661553,10984169750,0
32661553,10984169750,0
32661553,32661554,0
32661554,32661608,0
32661554,32661608,0
32661554,32661556,1
32661556,1700518182,0
32661556,1700518186,1
32661608,10984169765,0
32661608,4333603971,0
32661622,1700518182,0
32661622,1700534178,1
32661622,32661659,0
32661622,4333603970,1
32661659,9156187218,0
32661659,1700483934,0
32661659,1700483934,1
32661661,1700483929,0
32661661,4407950860,0
32661661,1700518167,1
32661661,1700518167,1
32661666,10863417707,0
32661666,32661679,0
32661666,1700483931,1
32661674,1700518168,0
32661674,1700483934,1
32661674,32661684,0
32661674,10984169768,1
32661679,1700483924,1
32661679,10863417724,1
32661679,1700534176,0
32661684,32661685,0
32661684,1700518167,0
32661684,1700483929,0
32661685,10984169768,0
32661685,10992252902,0
32661685,10992252902,1
32661713,32661714,0
32661713,615101580,0
32661713,1700534187,0
32661714,615101577,0
32661714,615101577,1
32661714,32661715,0
32661715,248413589,0
32661715,207249223,0
32661715,207249254,1
32661716,4304495146,0
32661716,615035109,0
32661716,1764298498,0
32661735,1700518225,0
32661735,1700525677,0
32661735,1700525677,1
32661735,8595141328,0
32661774,32671564,0
32662151,1700534174,0
32662151,1700534174,0
32662151,10992252902,0
32662151,32662156,0
32662156,1764284092,0
32662156,3713199524,0
32662156,3713199524,0
32662184,32662185,0
32662184,1700457622,1
32662184,1700457622,1
32662184,1764284076,0
32662185,1764259778,1
32662185,1764259778,0
32662185,10998451656,0
32666862,1764284090,1
32666862,10998451656,1
32666862,10998451656,0
32666862,3713199524,0
32671564,32671594,1
32671564,32671594,0
32671564,11206081966,1
32671594,4518898500,0
32671971,10863546379,1
32671971,32672036,0
32671971,32672036,0
32672036,1764298494,1
32672204,1764298494,0
32672204,10863546327,1
32672204,10863546327,0
32672204,10863546379,0
32672992,4513612526,1
32764413,248511841,0
32764413,248511841,0
32766750,5342975583,0
32766750,1700525580,0
207249223,248413588,0
207249223,248413588,0
207249223,4333592488,0
207249254,615101663,0
207249254,615101663,0
207249254,10222727838,0
207713268,1700525617,0
207713268,267966844,0
207717147,4304495146,0
207717147,4304495146,1
248413240,248413711,0
248413240,615101663,0
248413588,248413589,0
248413588,4333593189,1
248413589,267969149,0
248413589,267969149,0
248413711,267969149,1
248511841,615028249,0
248511841,615028249,1
267966817,1700525645,1
267966817,10992398283,0
267966817,267966844,0
267966844,1700525620,1
267966844,10992398280,0
267969149,615101663,0
615028247,615028248,1
615028247,615028248,0
615028248,4503982628,0
615028248,4503982628,0
615028249,10992252902,0
615028249,10992252902,0
615028249,615035051,0
615028249,615035051,0
615028328,5342978418,0
